Car_ID,Make,Model,Price,Year,Fuel Type,Location,Transmission
1,Honda,Amaze 1.2 VX i-VTEC,505000,2017,Petrol,Pune,Manual
2,Maruti Suzuki,Swift DZire VDI,450000,2014,Diesel,Ludhiana,Manual
3,Hyundai,i10 Magna 1.2 Kappa2,220000,2011,Petrol,Lucknow,Manual
4,Toyota,Glanza G,799000,2019,Petrol,Mangalore,Manual
5,Toyota,Innova 2.4 VX 7 STR [2016-2020],1950000,2018,Diesel,Mumbai,Manual
6,Maruti Suzuki,Ciaz ZXi,675000,2017,Petrol,Pune,Manual
7,Mercedes-Benz,CLA 200 Petrol Sport,1898999,2015,Petrol,Mumbai,Automatic
8,BMW,X1 xDrive20d M Sport,2650000,2017,Diesel,Coimbatore,Automatic
9,Skoda,Octavia 1.8 TSI Style Plus AT [2017],1390000,2017,Petrol,Mumbai,Automatic
10,Nissan,Terrano XL (D),575000,2015,Diesel,Mumbai,Manual
11,Hyundai,Elite i20 Sportz 1.2,591000,2017,Petrol,Mumbai,Manual
12,Renault,Kwid 1.0 RXT [2016-2019],459999,2018,Petrol,Bangalore,Manual
13,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],1075000,2019,Petrol,Bangalore,Automatic
14,Tata,Harrier XZ [2019-2020],1695000,2019,Diesel,Bangalore,Manual
15,Volkswagen,Polo GT TSI,944999,2017,Petrol,Bangalore,Automatic
16,Maruti Suzuki,Celerio ZXi AMT [2019-2020],569000,2016,Petrol,Bangalore,Automatic
17,Maruti Suzuki,Alto 800 LXi (O),449000,2019,Petrol,Bangalore,Manual
18,Maruti Suzuki,Baleno Alpha Automatic,894999,2018,Petrol,Bangalore,Automatic
19,Maruti Suzuki,Wagon R ZXi 1.2 AMT,699000,2020,Petrol,Bangalore,Automatic
20,Hyundai,Creta 1.6 E Petrol,740000,2016,Petrol,Delhi,Manual
21,Maruti Suzuki,S-Presso VXi AMT,470000,2020,Petrol,Mumbai,Automatic
22,Volkswagen,Vento Comfortline Petrol AT,765000,2015,Petrol,Bangalore,Automatic
23,Hyundai,Santro Sportz AMT [2018-2020],589000,2018,Petrol,Bangalore,Automatic
24,Hyundai,Venue SX 1.0 (O) Petrol [2019-2020],999000,2019,Petrol,Bangalore,Manual
25,Maruti Suzuki,Alto LXi CNG,370000,2019,CNG,Delhi,Manual
26,Maruti Suzuki,Ritz Zxi BS-IV,325000,2013,Petrol,Mumbai,Manual
27,Hyundai,Creta 1.6 SX Plus Petrol,1175000,2019,Petrol,Mumbai,Manual
28,Honda,Brio V MT,351000,2014,Petrol,Mumbai,Manual
29,Hyundai,Elite i20 Asta 1.2,551000,2015,Petrol,Mumbai,Manual
30,Honda,WR-V VX MT Petrol,819999,2018,Petrol,Delhi,Manual
31,Hyundai,Venue SX 1.0 Turbo iMT,990000,2020,Petrol,Mumbai,Manual
32,Hyundai,Creta 1.6 SX Plus AT,925000,2016,Diesel,Raipur,Automatic
33,Ford,Ecosport Titanium+ 1.0L EcoBoost,535000,2015,Petrol,Mumbai,Manual
34,Honda,CR-V 2.4 AT,860000,2013,Petrol,Mumbai,Automatic
35,Hyundai,Santro GL (CNG),145000,2009,CNG,Kanpur,Manual
36,Tata,Tiago Revotron XE [2016-2019],409000,2018,Petrol,Mumbai,Manual
37,Tata,Tigor Revotorq XT,490000,2018,Diesel,Patna,Manual
38,Toyota,Innova 2.4 G 8 STR [2016-2017],1900000,2019,Diesel,Mumbai,Manual
39,Mercedes-Benz,GLC 220 d Progressive,3850000,2017,Diesel,Mumbai,Automatic
40,Hyundai,Creta SX 1.6 CRDi (O),1125000,2018,Diesel,Patna,Manual
41,Mercedes-Benz,M-Class ML 250 CDI,2300000,2014,Diesel,Vadodara,Automatic
42,Toyota,Corolla Altis VL AT Petrol,1095000,2016,Petrol,Mumbai,Automatic
43,Audi,A4 2.0 TDI (177bhp) Premium Plus,1575000,2013,Diesel,Hyderabad,Automatic
44,Mercedes-Benz,SLK-Class SLK 200 K,2400000,2010,Petrol,Mumbai,Automatic
45,Hyundai,Elite i20 Asta 1.2,525000,2015,Petrol,Patna,Manual
46,Mahindra,Thar CRDe 4x4 AC,625000,2015,Diesel,Yamunanagar,Manual
47,Maruti Suzuki,Baleno Delta 1.2,605000,2019,Petrol,Delhi,Manual
48,Maruti Suzuki,Celerio VXi AMT,412000,2016,Petrol,Delhi,Automatic
49,Maruti Suzuki,Ciaz VDi SHVS,625000,2016,Diesel,Mumbai,Manual
50,Maruti Suzuki,Ciaz VXi,511000,2015,Petrol,Mumbai,Manual
