Feature_ID,Car_ID,Color,Seating Capacity,Fuel Tank Capacity
1,1,Grey,5,35
2,2,White,5,42
3,3,Maroon,5,35
4,4,Red,5,37
5,5,Grey,7,55
6,6,Grey,5,43
7,7,White,5,43
8,8,White,5,51
9,9,White,5,50
10,10,White,5,50
11,11,Red,5,45
12,12,Grey,5,28
13,13,Blue,5,43
14,14,Orange,5,50
15,15,Grey,5,45
16,16,Red,5,35
17,17,Grey,5,35
18,18,Grey,5,37
19,19,White,5,32
20,20,Silver,5,60
21,21,Grey,5,27
22,22,Brown,5,55
23,23,White,5,35
24,24,Blue,5,45
25,25,Grey,4,60
26,26,Grey,5,43
27,27,Grey,5,60
28,28,Red,5,35
29,29,White,5,45
30,30,White,5,40
31,31,Blue,5,45
32,32,Black,5,60
33,33,Silver,5,52
34,34,Brown,5,52
35,35,Silver,5,35
36,36,White,5,35
37,37,White,5,35
38,38,Bronze,8,55
39,39,Black,5,66
40,40,White,5,55
41,41,White,5,70
42,42,Black,5,55
43,43,White,5,63
44,44,Grey,2,70
45,45,Gold,5,45
46,46,White,6,60
47,47,Silver,5,37
48,48,Silver,5,35
49,49,Brown,5,43
50,50,Silver,5,43
51,51,Grey,5,60
52,52,White,5,60
53,53,Silver,5,28
54,54,White,5,60
55,55,Silver,5,35
56,56,Silver,7,55
57,57,Blue,5,67
58,58,White,5,60
59,59,White,8,60
60,60,White,5,35
61,61,White,5,57
62,62,White,5,40
63,63,Silver,5,45
64,64,Silver,5,48
65,65,Grey,7,40
66,66,Blue,5,43
67,67,Black,5,67
68,68,White,7,80
69,69,Maroon,5,50
70,70,White,,40
71,71,Grey,5,37
72,72,White,5,37
73,73,White,5,50
74,74,Grey,5,40
75,75,Red,5,45
76,76,Brown,5,40
77,77,White,5,45
78,78,Black,5,35
79,79,Brown,5,70
80,80,Black,4,57
81,81,Black,5,66
82,82,White,5,64
83,83,Red,5,37
84,84,White,5,63
85,85,Silver,5,37
86,86,Silver,5,60
87,87,Brown,5,55
88,88,Silver,5,66
89,89,Silver,5,65
90,90,White,5,37
91,91,White,5,50
92,92,Brown,5,35
93,93,Grey,5,48
94,94,Black,5,40
95,95,White,5,40
96,96,Blue,4,75
97,97,White,4,59
98,98,Silver,5,45
99,99,Black,5,43
100,100,Bronze,5,35
101,101,Silver,5,55
102,102,Red,5,45
103,103,White,5,43
104,104,Grey,5,60
105,105,White,5,65
106,106,Black,5,63
107,107,White,5,42
108,108,Blue,5,37
109,109,Blue,5,40
110,110,Blue,4,57
111,111,Bronze,5,42
112,112,White,5,80
113,113,White,7,80
114,114,Silver,5,44
115,115,Beige,5,55
116,116,Maroon,5,35
117,117,White,7,45
118,118,Grey,5,35
119,119,White,5,45
120,120,White,5,50
121,121,Red,5,50
122,122,Red,5,37
123,123,Silver,5,45
124,124,White,5,45
125,125,Grey,5,42
126,126,White,5,35
127,127,Grey,5,43
128,128,White,5,40
129,129,Black,5,50
130,130,White,5,55
131,131,Black,7,75
132,132,White,5,37
133,133,Grey,5,43
134,134,Silver,5,35
135,135,White,5,40
136,136,White,7,60
137,137,White,5,43
138,138,White,7,80
139,139,Maroon,5,40
140,140,Blue,5,70
141,141,White,5,50
142,142,White,5,42
143,143,White,5,55
144,144,White,5,43
145,145,White,5,60
146,146,White,5,45
147,147,White,5,45
148,148,Blue,5,40
149,149,Black,5,75
150,150,Green,8,45
151,151,Silver,5,50
152,152,Blue,5,37
153,153,White,5,80
154,154,White,7,45
155,155,White,5,43
156,156,White,5,43
157,157,White,7,70
158,158,White,7,80
159,159,Silver,5,93
160,160,White,5,43
161,161,Blue,4,70
162,162,White,5,55
163,163,Silver,5,60
164,164,Red,5,48
165,165,Black,5,58
166,166,White,5,35
167,167,White,5,50
168,168,Grey,5,43
169,169,Red,5,40
170,170,Blue,5,66
171,171,White,5,40
172,172,Silver,5,45
173,173,Black,5,55
174,174,Gold,5,45
175,175,White,7,70
176,176,Brown,5,57
177,177,White,5,50
178,178,White,5,35
179,179,Red,5,65
180,180,White,8,60
