Spec_ID,Car_ID,Engine,Max Power,Max Torque,Drivetrain
1,1,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD
2,2,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
3,3,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD
4,4,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD
5,5,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD
6,6,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD
7,7,1991 cc,181 bhp @ 5500 rpm,300 Nm @ 1200 rpm,FWD
8,8,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD
9,9,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD
10,10,1461 cc,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD
11,11,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
12,12,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD
13,13,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD
14,14,1956 cc,138 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD
15,15,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD
16,16,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD
17,17,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD
18,18,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD
19,19,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD
20,20,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD
21,21,998 cc,67 bhp @ 5500 rpm,90 Nm @ 3500 rpm,FWD
22,22,1197 cc,103 bhp @ 5000 rpm,153 Nm @ 3800 rpm,FWD
23,23,1086 cc,68 bhp @ 5500 rpm,99 Nm @ 4500 rpm,FWD
24,24,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD
25,25,998 cc,58 bhp @ 6000 rpm,78 Nm @ 3500 rpm,FWD
26,26,1197 cc,85 bhp @ 6000 rpm,113 Nm @ 4500 rpm,FWD
27,27,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD
28,28,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD
29,29,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
30,30,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD
31,31,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD
32,32,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD
33,33,999 cc,124 bhp @ 6000 rpm,170 Nm @ 1400 rpm,FWD
34,34,999 cc,124 bhp @ 6000 rpm,,FWD
35,35,1086 cc,62 bhp @ 5500 rpm,96 Nm @ 3000 rpm,FWD
36,36,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD
37,37,1047 cc,69 bhp @ 4000 rpm,140 Nm @ 1800 rpm,FWD
38,38,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD
39,39,2143 cc,168 bhp @ 3000 rpm,400 Nm @ 1400 rpm,AWD
40,40,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD
41,41,2143 cc,203 bhp @ 4200 rpm,500 Nm @ 1600 rpm,AWD
42,42,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD
43,43,1968 cc,177 bhp @ 4200 rpm,380 Nm @ 1750 rpm,FWD
44,44,1796 cc,165@5500,240@3000,RWD
45,45,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
46,46,2498 cc,105 bhp @ 3800 rpm,247 Nm @ 1800 rpm,AWD
47,47,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
48,48,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD
49,49,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
50,50,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD
51,51,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD
52,52,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD
53,53,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD
54,54,1956 cc,169 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD
55,55,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD
56,56,2494 cc,101 bhp @ 3600 rpm,200 Nm @ 1200 rpm,RWD
57,57,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD
58,58,1956 cc,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,AWD
59,59,2179 cc,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,RWD
60,60,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD
61,61,1998 cc,181 bhp @ 5000 rpm,270 Nm @ 1350 rpm,RWD
62,62,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD
63,63,1199 cc,74 bhp @ 4200 rpm,180 Nm @ 2000 rpm,FWD
64,64,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD
65,65,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD
66,66,1197 cc,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD
67,67,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,AWD
68,68,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD
69,69,1799 cc,130 bhp @ 6300 rpm,171.62 Nm @ 4300 rpm,FWD
70,70,999 cc,124 bhp @ 6000 rpm,,FWD
71,71,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD
72,72,1493 cc,99 bhp @ 4000 rpm,240 Nm @ 1500 rpm,FWD
73,73,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD
74,74,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD
75,75,1399 cc,68 bhp @ 4000 rpm,160 Nm @ 2000 rpm,FWD
76,76,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD
77,77,1198 cc,74 bhp @ 5400 rpm,110 Nm @ 3750 rpm,FWD
78,78,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD
79,79,2494 cc,179 bhp @ 6000 rpm,233 Nm @ 4100 rpm,FWD
80,80,1997 cc,150 bhp @ 5000 rpm,320 Nm @ 1500 rpm,AWD
81,81,2143 cc,207@4200,500@1600,RWD
82,82,1968 cc,184 bhp @ 3500 rpm,380 Nm @ 1750 rpm,AWD
83,83,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
84,84,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD
85,85,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
86,86,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD
87,87,1598 cc,103 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD
88,88,2143 cc,170 bhp @ 4200 rpm,400 Nm @ 2800 rpm,RWD
89,89,2494 cc,202 bhp @ 5700 rpm,270 Nm @ 4500 rpm,FWD
90,90,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD
91,91,1461 cc,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD
92,92,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD
93,93,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
94,94,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD
95,95,999 cc,124 bhp @ 6000 rpm,,FWD
96,96,2995 cc,335 bhp @ 5300 rpm,450 Nm @ 1340 rpm,AWD
97,97,1991 cc,241 bhp @ 5500 rpm,370 Nm @ 1300 rpm,RWD
98,98,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
99,99,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD
100,100,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD
101,101,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD
102,102,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
103,103,1197 cc,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD
104,104,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD
105,105,1968 cc,177 bhp @ 3750 rpm,380 Nm @ 1750 rpm,FWD
106,106,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD
107,107,1497 cc,115 bhp @ 3750 rpm,300 Nm @ 1500 rpm,FWD
108,108,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
109,109,999 cc,124 bhp @ 6000 rpm,,FWD
110,110,1997 cc,150 bhp @ 5000 rpm,300 Nm @ 1250 rpm,AWD
111,111,1497 cc,118@6600,146@4600,FWD
112,112,2143 cc,204 bhp @ 4200 rpm,500 Nm @ 1600 rpm,RWD
113,113,2982 cc,169 bhp @ 3600 rpm,360 Nm @ 1400 rpm,RWD
114,114,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD
115,115,1598 cc,104 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD
116,116,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD
117,117,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
118,118,1086 cc,63@5500,89@3000,FWD
119,119,1399 cc,68 bhp @ 4000 rpm,160 Nm @ 2000 rpm,FWD
120,120,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD
121,121,1956 cc,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD
122,122,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD
123,123,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
124,124,1199 cc,74 bhp @ 4200 rpm,180 Nm @ 2000 rpm,FWD
125,125,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
126,126,1086 cc,62 bhp @ 5500 rpm,96 Nm @ 3000 rpm,FWD
127,127,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
128,128,999 cc,124 bhp @ 6000 rpm,,FWD
129,129,1353 cc,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,FWD
130,130,1984 cc,188 bhp @ 4200 rpm,320 Nm @ 1500 rpm,AWD
131,131,2967 cc,245 bhp @ 2910 rpm,600 Nm @ 1500 rpm,AWD
132,132,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD
133,133,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD
134,134,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD
135,135,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD
136,136,2609 cc,116@3800,277@1700,RWD
137,137,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
138,138,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD
139,139,999 cc,124 bhp @ 6000 rpm,,FWD
140,140,1984 cc,248 bhp @ 5000 rpm,370 Nm @ 1600 rpm,AWD
141,141,1498 cc,105 bhp @ 5600 rpm,142 Nm @ 4000 rpm,FWD
142,142,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
143,143,1591 cc,122 bhp @ 6400 rpm,151 Nm @ 4850 rpm,FWD
144,144,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
145,145,1956 cc,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD
146,146,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD
147,147,1197 cc,83 bhp @ 6000 rpm,113.796 Nm @ 4000 rpm,FWD
148,148,999 cc,124 bhp @ 6000 rpm,,FWD
149,149,1968 cc,190 bhp @ 3800 rpm,400 Nm @ 1750 rpm,FWD
150,150,1497 cc,121 bhp @ 3500 rpm,300 Nm @ 1750 rpm,FWD
151,151,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD
152,152,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
153,153,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD
154,154,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
155,155,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD
156,156,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD
157,157,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD
158,158,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD
159,159,2143 cc,201 bhp @ 3800 rpm,500 Nm @ 1600 rpm,AWD
160,160,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
161,161,4663 cc,453 bhp @ 5250 rpm,700 Nm @ 1800 rpm,RWD
162,162,1591 cc,122 bhp @ 6400 rpm,151 Nm @ 4850 rpm,FWD
163,163,1451 cc,141 bhp @ 5000 rpm,250 Nm @ 1600 rpm,FWD
164,164,1498 cc,108 bhp @ 6000 rpm,144 Nm @ 4400 rpm,FWD
165,165,2354 cc,152@6000,215@3600,AWD
166,166,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD
167,167,1461 cc,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD
168,168,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
169,169,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD
170,170,1991 cc,181 bhp @ 5500 rpm,300 Nm @ 1200 rpm,RWD
171,171,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD
172,172,1598 cc,105 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD
173,173,1498 cc,103 bhp @ 4400 rpm,250 Nm @ 1500 rpm,FWD
174,174,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD
175,175,2179 cc,153 bhp @ 3750 rpm,360 Nm @ 1750 rpm,FWD
176,176,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD
177,177,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD
178,178,998 cc,68@6200,90@3500,FWD
179,179,1968 cc,177 bhp @ 3750 rpm,380 Nm @ 1750 rpm,FWD
180,180,2179 cc,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,RWD
181,181,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD
182,182,2982 cc,169 bhp @ 3600 rpm,343 Nm @ 1400 rpm,AWD
183,183,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
184,184,1498 cc,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD
185,185,2967 cc,241 bhp @ 3800 rpm,550 Nm @ 1750 rpm,AWD
186,186,2143 cc,204 bhp @ 3800 rpm,500 Nm @ 1600 rpm,RWD
187,187,998 cc,67 bhp @ 5500 rpm,90 Nm @ 3500 rpm,FWD
188,188,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD
189,189,1956 cc,169 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD
190,190,1248 cc,75@4000,190@2000,FWD
191,191,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
192,192,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD
193,193,2494 cc,102@5600,200@1400,FWD
194,194,1461 cc,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD
195,195,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD
196,196,2987 cc,234@3800,535@1600,AWD
197,197,1984 cc,150 bhp @ 3500 rpm,350 Nm @ 1500 rpm,FWD
198,198,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,RWD
199,199,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
200,200,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD
201,201,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD
202,202,1497 cc,118@6600,146@4600,FWD
203,203,1796 cc,186 bhp @ 5600 rpm,285 Nm @ 4000 rpm,RWD
204,204,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD
205,205,2987 cc,231@3800,540@1600,RWD
206,206,2997 cc,254 bhp @ 3600 rpm,619 Nm @ 1600 rpm,AWD
207,207,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD
208,208,1336 cc,89 bhp @ 4000 rpm,219.744 Nm @ 1500 rpm,FWD
209,209,999 cc,109 bhp @ 5000 rpm,175 Nm @ 1750 rpm,FWD
210,210,1198 cc,108 bhp @ 5000 rpm,170 Nm @ 1750 rpm,FWD
211,211,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
212,212,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
213,213,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD
214,214,1598 cc,104 bhp @ 5200 rpm,153 Nm @ 3750 rpm,FWD
215,215,4163 cc,444 bhp @ 8250 rpm,430 Nm @ 4000 rpm,AWD
216,216,1197 cc,82 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
217,217,3496 cc,272 bhp @ 6000 rpm,350 Nm @ 5000 rpm,AWD
218,218,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD
219,219,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD
220,220,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD
221,221,1497 cc,118@6600,146@4600,FWD
222,222,799 cc,53 bhp @ 5678 rpm,72 Nm @ 4386 rpm,FWD
223,223,1984 cc,180 bhp @ 4000 rpm,320 Nm @ 1500 rpm,FWD
224,224,1956 cc,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD
225,225,1968 cc,177 bhp @ 3750 rpm,380 Nm @ 1750 rpm,FWD
226,226,1248 cc,75@4000,190@2000,FWD
227,227,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD
228,228,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
229,229,2179 cc,140 bhp @ 3750 rpm,320 Nm @ 1500 rpm,RWD
230,230,2755 cc,172 bhp @ 3400 rpm,360 Nm @ 1200 rpm,RWD
231,231,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD
232,232,2143 cc,201 bhp @ 3800 rpm,500 Nm @ 1600 rpm,AWD
233,233,1956 cc,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,AWD
234,234,2979 cc,275 bhp @ 4000 rpm,600 Nm @ 2000 rpm,AWD
235,235,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD
236,236,4806 cc,500 bhp @ 6500 rpm,700 Nm @ 2250 rpm,AWD
237,237,2393 cc,148 bhp @ 3400 rpm,360 Nm @ 1400 rpm,RWD
238,238,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD
239,239,2982 cc,171@3600,343@1400,AWD
240,240,2967 cc,241 bhp @ 3800 rpm,550 Nm @ 1750 rpm,AWD
241,241,998 cc,58 bhp @ 5500 rpm,78 Nm @ 3500 rpm,FWD
242,242,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD
243,243,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD
244,244,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
